ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
2010,simple,24-WG085,Sprite Yoga Strap 6 foot,1,0,visible,This is a simple product called Sprite Yoga Strap 6 foot,"<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p> <ul> <li>100% soft and durable cotton. <li>Plastic cinch buckle is easy to use. <li>Three natural colors made from phthalate and heavy metal free dyes. </ul>",,,,,1,100,0,0,1,,,,1,,,14,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-yoga-strap.jpg,,,,,,,,,,Activity,Yoga,Gender,Men|Women|Unisex,Material,Canvas|Plastic,Size,6 foot,,,,,,,
2011,simple,24-WG086,Sprite Yoga Strap 8 foot,1,0,visible,This is a simple product called Sprite Yoga Strap 8 foot,"<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p> <ul> <li>8' long x 1.0"" wide. <li>100% soft and durable cotton. <li>Plastic cinch buckle is easy to use. <li>Three natural colors made from phthalate and heavy metal free dyes. </ul>",,,,,1,100,0,0,1,,,,1,,,17,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-yoga-strap.jpg,,,,,,,,,,Activity,Yoga,Gender,Men|Women|Unisex,Material,Canvas|Plastic,Size,8 foot,,,,,,,
2012,simple,24-WG087,Sprite Yoga Strap 10 foot,1,0,visible,This is a simple product called Sprite Yoga Strap 10 foot,"<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.</p> <ul> <li>10' long x 1.0"" wide. <li>100% soft and durable cotton. <li>Plastic cinch buckle is easy to use. <li>Three natural colors made from phthalate and heavy metal free dyes. </ul>",,,,,1,100,0,0,1,,,,1,,,21,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-yoga-strap.jpg,,,,,,,,,,Activity,Yoga,Gender,Men|Women|Unisex,Material,Canvas|Plastic,Size,10 foot,,,,,,,
2013,simple,24-WG081-gray,Sprite Stasis Ball 55 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 55 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,23,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball-gray.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,55 cm,Color,Gray,,,,,
2014,simple,24-WG081-pink,Sprite Stasis Ball 55 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 55 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,23,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball-pink.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,55 cm,Color,Red,,,,,
1754,variation,WT09-XS-Yellow,Breathe-Easy Tank-XS-Yellow,1,0,visible,,"<p>The Breathe Easy Tank is so soft, lightweight, and comfortable, you won't even know it's there -- until its high-tech Cocona&reg; fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.</p> <p>&bull; Machine wash/dry.<br />&bull; Cocona&reg; fabric.</p>",,,,,1,100,0,0,1,,,,1,,,34,Clothing>Women>Tops>Bras & Tanks|Clothing>Promotions>Women Sale|Clothing>Collections>Erin Recommends|Clothing,,,http://eimages.valtim.com/acme-images/product/w/t/wt09-yellow_main.jpg,,,WT09,,,,,,,Size,XS,Color,Yellow,,,,,,,,,,,
2015,simple,24-WG081-blue,Sprite Stasis Ball 55 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 55 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,23,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,55 cm,Color,Blue,,,,,
2016,simple,24-WG082-gray,Sprite Stasis Ball 65 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 65 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>65 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,27,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball-gray.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,65 cm,Color,Gray,,,,,
2017,simple,24-WG082-pink,Sprite Stasis Ball 65 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 65 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>65 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,27,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball-pink.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,65 cm,Color,Red,,,,,
2018,simple,24-WG082-blue,Sprite Stasis Ball 65 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 65 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>65 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,27,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,65 cm,Color,Blue,,,,,
2019,simple,24-WG083-gray,Sprite Stasis Ball 75 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 75 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>75 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,32,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball-gray.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,75 cm,Color,Gray,,,,,
2020,simple,24-WG083-pink,Sprite Stasis Ball 75 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 75 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>75 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,32,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball-pink.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,75 cm,Color,Red,,,,,
2021,simple,24-WG083-blue,Sprite Stasis Ball 75 cm,1,0,visible,This is a simple product called Sprite Stasis Ball 75 cm,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>75 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,32,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-stability-ball.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,Size,75 cm,Color,Blue,,,,,
2022,simple,24-UG06,Affirm Water Bottle ,1,0,visible,This is a simple product called Affirm Water Bottle ,"<p>You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.</p> <ul> <li>Made of plastic.</li> <li>Grooved sides for an easy grip.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,7,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/u/g/ug06-lb-0.jpg,,,,,,,,,,Activity,Yoga|Recreation|Sports|Gym|,Gender,Men|Women|Boys|Girls|Unisex,Material,Plastic,,,,,,,,,
2023,simple,24-UG07,Dual Handle Cardio Ball,1,0,visible,This is a simple product called Dual Handle Cardio Ball,"<p>Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.</p> <ul> <li>Durable plastic shell with sand fill. <li>Two handles. <li>15 lbs. </ul>",,,,,1,100,0,0,1,,,,1,,12,12,Gear>Fitness Equipment|Collections>Erin Recommends,,,"http://eimages.valtim.com/acme-images/product/u/g/ug07-bk-0.jpg, http://eimages.valtim.com/acme-images/product/u/g/ug07-bk-0_alt1.jpg",,,,,,,,,,Activity,Athletic|Sports|Gym,Gender,Men|Women|Unisex,Material,Plastic,,,,,,,,,
2024,simple,24-UG04,Zing Jump Rope,1,0,visible,This is a simple product called Zing Jump Rope,"<p>One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.</p> <ul> <li> Contoured foam handles. <li> Adjustable length. </ul>",,,,,1,100,0,0,1,,,,1,,,12,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/u/g/ug04-bk-0.jpg,,,,,,,,,,Activity,Gym,Gender,Men|Women|Unisex,Material,Leather|Plastic,,,,,,,,,
2025,simple,24-UG02,Pursuit Lumaflex&trade; Tone Band,1,0,visible,This is a simple product called Pursuit Lumaflex&trade; Tone Band,"<p>Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex&trade; Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.</p> <ul> <li>Home and/or gym use.</li> <li>Ergonomic handles.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,16,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/u/g/ug02-bk-0.jpg,,,,,,,,,,Activity,Gym,Gender,Men|Women|Unisex,Material,Rubber|Synthetic,,,,,,,,,
2026,simple,24-UG05,Go-Get'r Pushup Grips,1,0,visible,This is a simple product called Go-Get'r Pushup Grips,"<p>The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.</p> <ul> <li>Durable foam grips.</li> <li>Supportive base.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,19,Gear>Fitness Equipment|Collections>New Luma Yoga Collection,,,http://eimages.valtim.com/acme-images/product/u/g/ug05-gr-0.jpg,,,,,,,,,,Activity,Athletic|Gym,Gender,Men|Women|Unisex,Material,Plastic|Rubber,,,,,,,,,
2027,simple,24-UG01,Quest Lumaflex&trade; Band,1,0,visible,This is a simple product called Quest Lumaflex&trade; Band,"<p>From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.</p> <ul> <li>Adjusts from 30"" to 55"". <li>Grippy comfort handles. <li>Stretchy rubber construction. </ul>",,,,,1,100,0,0,1,,,,1,,,19,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/u/g/ug01-bk-0.jpg,,,,,,,,,,Activity,Gym,Gender,Men|Women|Unisex,Material,Leather|Plastic|Rubber,,,,,,,,,
2028,simple,24-WG084,Sprite Foam Yoga Brick,1,0,visible,This is a simple product called Sprite Foam Yoga Brick,"<p>Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.</p> <ul> <li>Standard Large Size: 4"" x 6"" x 9"". <li>Beveled edges for ideal contour grip. <li>Durable and soft, scratch-proof foam. <li>Individually wrapped. <li>Ten color choices. </ul> ",,,,,1,100,0,0,1,,,,1,,,5,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-yoga-brick.jpg,,,,,,,,,,Activity,Yoga|Recreation|Sports|Gym,Gender,Men|Women|Unisex,Material,Foam,,,,,,,,,
2029,simple,24-WG088,Sprite Foam Roller,1,0,visible,This is a simple product called Sprite Foam Roller,"<p>It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. </p> <ul> <li>6'' wide by 12'' long.</li> <li>Safe for myofascial release.</li> <li>EPP or PE foam options.</li> <li>Solid, dense, closed-cell foam.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,19,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/l/u/luma-foam-roller.jpg,,,,,,,,,,Activity,Yoga|Gym,Gender,Men|Women|Unisex,Material,Foam,,,,,,,,,
2030,simple,24-UG03,Harmony Lumaflex&trade; Strength Band Kit ,1,0,visible,This is a simple product called Harmony Lumaflex&trade; Strength Band Kit ,"<p>Forget fancy machines and costly memberships - the Harmony Lumaflex&trade; Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.</p> <ul> <li>Three flex bands.</li> <li>Textured, ergonomic grips.</li> <li>Adjustable lengths.</li> <li>Mesh carry bag included.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,22,Gear>Fitness Equipment,,,http://eimages.valtim.com/acme-images/product/u/g/ug03-bk-0.jpg,,,,,,,,,,Activity,Gym,Gender,Men|Women|Unisex,Material,Leather|Plastic|Rubber,,,,,,,,,
2031,simple,24-MB01,Joust Duffle Bag,1,0,visible,This is a simple product called Joust Duffle Bag,"<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p> <ul> <li>Dual top handles.</li> <li>Adjustable shoulder strap.</li> <li>Full-length zipper.</li> <li>L 29"" x W 13"" x H 11"".</li> </ul>",,,,,1,100,0,0,1,,,,1,,,34,Gear>Bags,,,http://eimages.valtim.com/acme-images/product/m/b/mb01-blue-0.jpg,,,,,,,,,,Activity,Gym|Travel|Trail|Overnight,Pattern,Solid,Material,Nylon|Polyester,Strap,Adjustable|Cross Body|Detachable|Double|Padded|Shoulder,Style,Luggage|Duffel|Exercise,,,,,
2032,simple,24-MB04,Strive Shoulder Pack,1,0,visible,This is a simple product called Strive Shoulder Pack,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p> <ul> <li>Zippered main compartment.</li> <li>Front zippered pocket.</li> <li>Side mesh pocket.</li> <li>Cell phone pocket on strap.</li> <li>Adjustable shoulder strap and top carry handle.</li> </ul>",,,,,1,100,0,0,1,,,,1,,32,32,Gear>Bags|Collections>Erin Recommends,,,"http://eimages.valtim.com/acme-images/product/m/b/mb04-black-0.jpg, http://eimages.valtim.com/acme-images/product/m/b/mb04-black-0_alt1.jpg",,,,,,,,,,Activity,Gym|Trail|Urban|Hiking,Pattern,Solid,Material,Canvas|Cotton|Mesh|Polyester,Strap,Adjustable|Cross Body|Padded|Shoulder|Single,Style,Messenger|Exercise|Tote,,,,,
2033,simple,24-MB03,Crown Summit Backpack,1,0,visible,This is a simple product called Crown Summit Backpack,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p> <ul> <li>Top handle.</li> <li>Grommet holes.</li> <li>Two-way zippers.</li> <li>H 20"" x W 14"" x D 12"".</li> <li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li> <ul>",,,,,1,100,0,0,1,,,,1,,,38,Gear>Bags,,,"http://eimages.valtim.com/acme-images/product/m/b/mb03-black-0.jpg, http://eimages.valtim.com/acme-images/product/m/b/mb03-black-0_alt1.jpg",,,,,,,,,,Activity,Gym|Hiking|Overnight|School|Trail|Travel|Urban,Pattern,Solid,Material,Nylon|Polyester,Strap,Adjustable|Double|Padded,Style,Backpack,,,,,
2034,simple,24-MB05,Wayfarer Messenger Bag,1,0,visible,This is a simple product called Wayfarer Messenger Bag,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p> <ul> <li>Multiple internal zip pockets.</li> <li>Made of durable nylon.</li> </ul>",,,,,1,100,0,0,1,,,,1,,,45,Gear>Bags|Collections>New Luma Yoga Collection,,,http://eimages.valtim.com/acme-images/product/m/b/mb05-black-0.jpg,,,,,,,,,,Activity,Gym|Overnight|Travel,Pattern,Solid,Material,Nylon|Polyester,Strap,Adjustable|Detachable|Double|Padded|Shoulder,Style,Messenger|Laptop,,,,,
